guid	label	labelcode	sentenes
0	Tattoos & Body Art	0	10 Pcs Halloween Skull Temporary Tattoo Stickers. A Very good choice as temporary tattoo, body makeup for Halloween.
1	Tattoos & Body Art	0	10pcs Halloween Temporary Tattoo Stickers. A Very good choice as temporary tattoo, body makeup for Halloween.
2	Tattoos & Body Art	0	10 Pcs Halloween Spider Temporary Tattoo Sticker. A Very good choice as temporary tattoo, body makeup for Halloween.
3	Kitchen & Dining & Bar	1	"Honana CF-AT017 10 Pcs Set Round 3-Compartment Microwavable Food Container Disposable Lunch Box. Honana CF-AT017 Black 9"" Round 3-Compartment Microwavable Food Container Disposable Lunch Box"
4	Tattoos & Body Art	0	5pcs Halloween Skull Temporary Tattoo Sticker. A Very good choice as temporary tattoo, body makeup for Halloween.
5	Kitchen & Dining & Bar	1	5Pcs Magic Red Wine Aerator Pourer Decanter Enhancing Flavor Tool. 5Pcs Magic Red Wine Aerator Pourer Decanter Enhancing Flavor Tool
6	Kitchen & Dining & Bar	1	4Pcs Stainless Steel Whisky Stones Cube Glacier Whiskey Rocks. Stainless steel whisky stones are the latest way to chill your drink without watering it down.Each stainless steel whiskey stone is filled with a non-toxic gel that keeps drinks cold.
7	Kitchen & Dining & Bar	1	8Pcs Stainless Steel Whisky Stone Sets Cube Glacier Whiskey Rocks Multifunction Ice Rock. Stainless steel whiskey stones are the latest way to chill your drink without watering it down.Each stainless steel whiskey stone is filled with a non-toxic gel that keeps drinks cold.
8	Nail Art	2	1.5mm Acrylic Nail Art DIY Rhinestones Decoration UV Gel Stickers. This nail decoration is easy to apply on natural or artificial nails, you can use them for many times if they are used and removed properly. Suitable to use on top of nail polish, UV builder gel, acrylic, etc. Professional and home use.
9	Nail Art	2	White Sanding Nail Art Block File Polish Buffer Pedicure Manicure. This sanding nail art block file is suitable for Professional use and personal use. Ideal product for manicure or pedicure.
10	Nail Art	2	Gold Metal Nail Art Tip Design Wheel DIY Decal Sticker Decoration Manicure. This 3D gold nail art wheel, easy to apply on natural or artificial nails. Suitable for professional and home use.
11	Nail Art	2	5 Pcs 2 Ways Marbleizing Nail Art Dotting Paint Pen Manicure Tool. This 5pcs nail dotting pen with 2 different ends for different marbleizing desires. One end with a larger ball and another end with a smaller one.Straight and angular dotting balls for all sort of working conditions.Ideal for dots and flower patterns.It can also be used for creating dots(of an even or decreasing size)and to pill dots into petal shapes when doing finely detailed flowers.
12	Nail Art	2	DANCINGNAIL Nail Art Stainless Steel Cuticle Cutter Nippers Clipper. This nippers clipper can be used to clean your nails. Clean the nail cuticle. Suitable for Professional Salon use or home use.
13	Nail Art	2	Black Acrylic Anti-static Nail Rhinestones Eyelash Bend Design Nipper Picking Tool. This nipper is suitable for picking, clipping nail art rhinestones or decoration.
14	Nail Art	2	Nail Art False Tips Display Practice Tool Wheel. One wheels with 20 nails on a wheel, the nails are all the same size, therefore are more suitable for using as display and practice purposes than for wearing. Suitable for painting or airbrushing.
15	Nail Art	2	7Pcs White Nail Art Brush Gel Design Painting Pen Polish Brushes. This 7pcs nail art brush, great for nail art design, etc. Lightweight, it is easy to carry and use. Suitable for professional or home use.
16	Pet Supplies	3	Digital LCD Fish Tank Aquarium Marine Water Terrarium Thermometer Temperature With 2 Suckers. Digital LCD Fish Tank Aquarium Marine Water Terrarium Thermometer Temperature,Digital Refrigerator Thermometer Features Ultra Small And Lightweight Unit.
17	Nail Art	2	Nail Art Manicure Soak Soaker Bowl Acrylic Tip Tool. This nail soak bowl is suitable for nail treatment, removing false nails and cuticle, etc.
18	Nail Art	2	500 Nail Art Forms Guide Acrylic Nails UA Gel Tip Extension. This self-adhesive nail art form is suitable for professional use or personal use. There are length and numbers marked on each piece which can provide an accurate guide for you to make your pretty nails.
19	Kitchen & Dining & Bar	1	Wine Vacuum Sealer Bottle Sealer Wine Stopper Vacuum Stopper Multifunction Bar Tools. Wine vacuum sealer greatly help topreserve your partially consumed bottles of wine so they are as rich and tasteful as when the bottle was first opened.
20	Home Decor	4	10M 100 LEDs Fairy String light. 10M 100 LED FAIRY STRING light Multi-color PARTY 220V. Free power adaptor plug will be attached for different region according to shipping address.Product Includes:1 X 10M 100 LED string White lights
21	Housekeeping & Organization	5	Ultrasonic Electronic Pest Anti Mosquito Repeller Keychain Pests Control & Killer. The Ultrasonic mosquito repeller uses an advanced technology insect repellent that makes outdoor living and activities more enjoyable from the annoyance of mosquitoes.It works to help protect you while you're fishing, camping, hiking, jogging, on the golf course, or just at ease on your patio or porch.Locate the frequency switch on the side of the device: Male mosquito setting / Dragonfly setting / Power off.Not all mosquitoes are deterred by same things.Try each setting for 15 minutes or so until satisfactory results have been achieved.With a key chain for easy carrying
22	Pet Supplies	3	L Size Pet Dog Cat Hair Fur Shedding Trimmer Grooming Rake Comb Brush Tool Supplies. L Size Pet Dog Cat Hair Fur Shedding Trimmer Grooming Rake Comb Brush Tool Supplies
